content,Label,text_clean,text_StopWord,text_tokens,text_steamindo
Bagus banget,Positif,bagus banget,bagus banget,"['bagus', 'banget']",bagus banget
kgn yusak☹️,Positif,kgn yusak,kgn yusak,"['kgn', 'yusak']",kgn yusak
pengguna baru,Positif,pengguna baru,pengguna,['pengguna'],guna
Tambahkan kualitas ultra tinggi video dengan blu ray 4k 👌👌👌👌👌👌,Positif,tambahkan kualitas ultra tinggi video dengan blu ray k ,tambahkan kualitas ultra video blu ray k,"['tambahkan', 'kualitas', 'ultra', 'video', 'blu', 'ray', 'k']",tambah kualitas ultra video blu ray k
masih belom mengerti jd baru mencoba nya,Positif,masih belom mengerti jd baru mencoba nya,belom mengerti jd mencoba nya,"['belom', 'mengerti', 'jd', 'mencoba', 'nya']",bom erti jd coba nya
Oke juga,Positif,oke juga,oke,['oke'],oke
Aplikasi sampah. Maksa buat instal dengan pancingan postingan Instagram yg tidak lengkap... Benar-benar samph,Negatif,aplikasi sampah maksa buat instal dengan pancingan postingan instagram yg tidak lengkap benarbenar samph,aplikasi sampah maksa instal pancingan postingan instagram yg lengkap benarbenar samph,"['aplikasi', 'sampah', 'maksa', 'instal', 'pancingan', 'postingan', 'instagram', 'yg', 'lengkap', 'benarbenar', 'samph']",aplikasi sampah maksa instal pancing postingan instagram yg lengkap benarbenar samph
Oke juga,Positif,oke juga,oke,['oke'],oke
seru,Positif,seru,seru,['seru'],seru
ok,Positif,ok,ok,['ok'],ok
Beri pengalaman terindah,Positif,beri pengalaman terindah,pengalaman terindah,"['pengalaman', 'terindah']",alam indah
Maksa bgt buat minta download,Negatif,maksa bgt buat minta download,maksa bgt download,"['maksa', 'bgt', 'download']",maksa bgt download
Sangat Suka. Mantap 👍,Positif,sangat suka mantap ,suka mantap,"['suka', 'mantap']",suka mantap
Yeek,Positif,yeek,yeek,['yeek'],yeek
bagus,Positif,bagus,bagus,['bagus'],bagus
Ok,Positif,ok,ok,['ok'],ok
"Bagus dan mudah penggunaanya,simpel",Positif,bagus dan mudah penggunaanyasimpel,bagus mudah penggunaanyasimpel,"['bagus', 'mudah', 'penggunaanyasimpel']",bagus mudah penggunaanyasimpel
Selalu tetap terhubung tersinkron dalam family grup laman saya ini secara mudah lebih cepat lebih rahasia dan lebih aman berkelanjutan dengan hasil tujuan semakin sangat memuaskan.,Positif,selalu tetap terhubung tersinkron dalam family grup laman saya ini secara mudah lebih cepat lebih rahasia dan lebih aman berkelanjutan dengan hasil tujuan semakin sangat memuaskan,terhubung tersinkron family grup laman mudah cepat rahasia aman berkelanjutan hasil tujuan memuaskan,"['terhubung', 'tersinkron', 'family', 'grup', 'laman', 'mudah', 'cepat', 'rahasia', 'aman', 'berkelanjutan', 'hasil', 'tujuan', 'memuaskan']",hubung sinkron family grup laman mudah cepat rahasia aman lanjut hasil tuju muas
"Bagus kok sejauh ini menurut ku, tingkatkan terus ya",Positif,bagus kok sejauh ini menurut ku tingkatkan terus ya,bagus ku tingkatkan ya,"['bagus', 'ku', 'tingkatkan', 'ya']",bagus ku tingkat ya
bagus banget,Negatif,bagus banget,bagus banget,"['bagus', 'banget']",bagus banget
Semua tergantung kepentingan,Positif,semua tergantung kepentingan,tergantung kepentingan,"['tergantung', 'kepentingan']",gantung penting
sangat bagus,Positif,sangat bagus,bagus,['bagus'],bagus
Cool,Positif,cool,cool,['cool'],cool
mantap👍👍👍,Positif,mantap,mantap,['mantap'],mantap
Good,Positif,good,good,['good'],good
Bagus,Positif,bagus,bagus,['bagus'],bagus
Mantap,Positif,mantap,mantap,['mantap'],mantap
buka threads dapat mengembangkan Wawasan dan literasi,Positif,buka threads dapat mengembangkan wawasan dan literasi,buka threads mengembangkan wawasan literasi,"['buka', 'threads', 'mengembangkan', 'wawasan', 'literasi']",buka threads kembang wawas literasi
Bagus bgt,Positif,bagus bgt,bagus bgt,"['bagus', 'bgt']",bagus bgt
MantaPpP.,Positif,mantappp,mantappp,['mantappp'],mantappp
aplikasi keren,Positif,aplikasi keren,aplikasi keren,"['aplikasi', 'keren']",aplikasi keren
mantab interaksi lsg mesqi ada tempo stlh posting terlebih @ig berat sinyalnya ...btw jozzz lah ujian sabar 💪🏻🙏🏻🎬,Positif,mantab interaksi lsg mesqi ada tempo stlh posting terlebih  berat sinyalnya btw jozzz lah ujian sabar ,mantab interaksi lsg mesqi tempo stlh posting berat sinyalnya btw jozzz ujian sabar,"['mantab', 'interaksi', 'lsg', 'mesqi', 'tempo', 'stlh', 'posting', 'berat', 'sinyalnya', 'btw', 'jozzz', 'ujian', 'sabar']",mantab interaksi lsg mesqi tempo stlh posting berat sinyal btw jozzz uji sabar
Semoga dapat menjalin silaturahmi buat saudara yang lainnya,Positif,semoga dapat menjalin silaturahmi buat saudara yang lainnya,semoga menjalin silaturahmi saudara,"['semoga', 'menjalin', 'silaturahmi', 'saudara']",moga jalin silaturahmi saudara
Ok,Positif,ok,ok,['ok'],ok
Sangatlah bagus aplikasi ini,Positif,sangatlah bagus aplikasi ini,bagus aplikasi,"['bagus', 'aplikasi']",bagus aplikasi
Masih Kurang Paham Cara Pakenya!🙏,Positif,masih kurang paham cara pakenya,paham pakenya,"['paham', 'pakenya']",paham pakenya
FUNGSINYA?,Negatif,fungsinya,fungsinya,['fungsinya'],fungsi
SURIYO lahirtgl/Sabtu/1971,Positif,suriyo lahirtglsabtu,suriyo lahirtglsabtu,"['suriyo', 'lahirtglsabtu']",suriyo lahirtglsabtu
madep,Positif,madep,madep,['madep'],madep
Nice,Positif,nice,nice,['nice'],nice
"APK nya bagus sich, cuma jarang di gunain jadi temennya cuma sedikit.",Positif,apk nya bagus sich cuma jarang di gunain jadi temennya cuma sedikit,apk nya bagus sich jarang gunain temennya,"['apk', 'nya', 'bagus', 'sich', 'jarang', 'gunain', 'temennya']",apk nya bagus sich jarang gunain temennya
good,Positif,good,good,['good'],good
Siiip,Positif,siiip,siiip,['siiip'],siiip
Sangat Bagus,Positif,sangat bagus,bagus,['bagus'],bagus
Bagus dan Aku Suka😎,Positif,bagus dan aku suka,bagus suka,"['bagus', 'suka']",bagus suka
Dah 3x install ulang. Kenapa sih gapernah muncul komen orang sampe harus uninstall dan install ulang agar muncul lagi komenan orang?,Negatif,dah x install ulang kenapa sih gapernah muncul komen orang sampe harus uninstall dan install ulang agar muncul lagi komenan orang,dah x install ulang sih gapernah muncul komen orang sampe uninstall install ulang muncul komenan orang,"['dah', 'x', 'install', 'ulang', 'sih', 'gapernah', 'muncul', 'komen', 'orang', 'sampe', 'uninstall', 'install', 'ulang', 'muncul', 'komenan', 'orang']",dah x install ulang sih gapernah muncul komen orang sampe uninstall install ulang muncul komenan orang
M3mbaca pengalaman teman2 dengan cerita masing2,Positif,mmbaca pengalaman teman dengan cerita masing,mmbaca pengalaman teman cerita,"['mmbaca', 'pengalaman', 'teman', 'cerita']",mmbaca alam teman cerita
Nice,Positif,nice,nice,['nice'],nice
Menyenangkan...,Positif,menyenangkan,menyenangkan,['menyenangkan'],senang
Kok malah ilang,Positif,kok malah ilang,ilang,['ilang'],ilang
Suka,Positif,suka,suka,['suka'],suka
I need my account to monetize please hehehe,Positif,i need my account to monetize please hehehe,i need my account to monetize please hehehe,"['i', 'need', 'my', 'account', 'to', 'monetize', 'please', 'hehehe']",i need my account to monetize please hehehe
Ok,Positif,ok,ok,['ok'],ok
aplikasi bagus untuk cari teman,Positif,aplikasi bagus untuk cari teman,aplikasi bagus cari teman,"['aplikasi', 'bagus', 'cari', 'teman']",aplikasi bagus cari teman
Bagus banget,Positif,bagus banget,bagus banget,"['bagus', 'banget']",bagus banget
Kisah kehidupan,Positif,kisah kehidupan,kisah kehidupan,"['kisah', 'kehidupan']",kisah hidup
